date,product_id,warehouse_id,units_sold,revenue,day_of_week,is_weekend,is_holiday,promotion_active
2026-01-01,P001,WH01,15,13499.85,Wednesday,0,1,0
2026-01-01,P002,WH01,52,1559.48,Wednesday,0,1,1
2026-01-01,P012,WH03,145,1303.55,Wednesday,0,1,0
2026-01-02,P001,WH01,11,9899.89,Thursday,0,0,0
2026-01-02,P002,WH01,43,1289.57,Thursday,0,0,0
2026-01-02,P007,WH01,32,2559.68,Thursday,0,0,0
2026-01-02,P012,WH03,118,1060.82,Thursday,0,0,0
2026-01-03,P001,WH01,14,12599.86,Friday,0,0,0
2026-01-03,P002,WH01,48,1439.52,Friday,0,0,0
2026-01-03,P004,WH02,6,1199.94,Friday,0,0,0
2026-01-03,P007,WH01,25,1999.75,Friday,0,0,0
2026-01-03,P012,WH03,130,1168.70,Friday,0,0,0
2026-01-04,P001,WH01,18,16199.82,Saturday,1,0,1
2026-01-04,P002,WH01,62,1859.38,Saturday,1,0,1
2026-01-04,P005,WH02,5,2249.95,Saturday,1,0,0
2026-01-04,P007,WH01,38,3039.62,Saturday,1,0,0
2026-01-04,P012,WH03,95,854.05,Saturday,1,0,0
2026-01-05,P001,WH01,16,14399.84,Sunday,1,0,0
2026-01-05,P002,WH01,55,1649.45,Sunday,1,0,0
2026-01-05,P006,WH01,10,3499.90,Sunday,1,0,0
2026-01-05,P012,WH03,88,791.12,Sunday,1,0,0
2026-01-06,P001,WH01,10,8999.90,Monday,0,0,0
2026-01-06,P002,WH01,42,1259.58,Monday,0,0,0
2026-01-06,P008,WH01,22,1539.78,Monday,0,0,0
2026-01-06,P012,WH03,125,1123.75,Monday,0,0,0
2026-01-07,P001,WH01,12,10799.88,Tuesday,0,0,0
2026-01-07,P002,WH01,46,1379.54,Tuesday,0,0,0
2026-01-07,P011,WH03,7,2099.93,Tuesday,0,0,0
2026-01-07,P012,WH03,132,1186.68,Tuesday,0,0,0
2026-01-08,P001,WH01,13,11699.87,Wednesday,0,0,0
2026-01-08,P002,WH01,44,1319.56,Wednesday,0,0,0
2026-01-08,P007,WH01,30,2399.70,Wednesday,0,0,0
2026-01-08,P012,WH03,115,1033.85,Wednesday,0,0,0
2026-01-09,P001,WH01,11,9899.89,Thursday,0,0,0
2026-01-09,P002,WH01,47,1409.53,Thursday,0,0,0
2026-01-09,P009,WH02,20,699.80,Thursday,0,0,0
2026-01-09,P012,WH03,128,1150.72,Thursday,0,0,0
2026-01-10,P001,WH01,15,13499.85,Friday,0,0,1
2026-01-10,P002,WH01,58,1739.42,Friday,0,0,1
2026-01-10,P007,WH01,35,2799.65,Friday,0,0,1
2026-01-10,P012,WH03,140,1258.60,Friday,0,0,0
2026-01-11,P001,WH01,20,17999.80,Saturday,1,0,1
2026-01-11,P002,WH01,65,1949.35,Saturday,1,0,1
2026-01-11,P016,WH01,12,1799.88,Saturday,1,0,0
2026-01-11,P012,WH03,98,880.82,Saturday,1,0,0
2026-01-12,P001,WH01,17,15299.83,Sunday,1,0,0
2026-01-12,P002,WH01,50,1499.50,Sunday,1,0,0
2026-01-12,P017,WH01,6,2399.94,Sunday,1,0,0
2026-01-12,P012,WH03,92,827.08,Sunday,1,0,0
2026-01-13,P001,WH01,9,8099.91,Monday,0,0,0
2026-01-13,P002,WH01,40,1199.60,Monday,0,0,0
2026-01-13,P003,WH01,18,899.82,Monday,0,0,0
2026-01-13,P012,WH03,122,1096.78,Monday,0,0,0
2026-01-14,P001,WH01,12,10799.88,Tuesday,0,0,0
2026-01-14,P002,WH01,45,1349.55,Tuesday,0,0,0
2026-01-14,P004,WH02,5,999.95,Tuesday,0,0,0
2026-01-14,P012,WH03,118,1060.82,Tuesday,0,0,0
