product_id,product_name,category,warehouse_id,current_stock,reorder_level,max_capacity,unit_cost,holding_cost_pct,ordering_cost,lead_time_days,daily_demand_avg,daily_demand_std,supplier_id,last_order_date,last_order_qty
P001,Laptop Pro 15,Electronics,WH01,150,50,500,899.99,0.20,75.00,7,12,3,SUP01,2026-01-20,100
P002,Wireless Mouse,Electronics,WH01,320,100,800,29.99,0.15,25.00,3,45,12,SUP01,2026-01-25,200
P003,USB-C Hub,Electronics,WH01,85,40,300,49.99,0.15,30.00,5,15,5,SUP01,2026-01-18,100
P004,Office Chair,Furniture,WH02,45,20,150,199.99,0.25,50.00,14,5,2,SUP02,2026-01-10,50
P005,Standing Desk,Furniture,WH02,28,15,100,449.99,0.25,60.00,21,3,1,SUP02,2026-01-05,30
P006,Monitor 27inch,Electronics,WH01,92,35,250,349.99,0.20,55.00,10,8,3,SUP01,2026-01-22,60
P007,Keyboard Mechanical,Electronics,WH01,210,80,600,79.99,0.15,25.00,4,28,8,SUP01,2026-01-24,150
P008,Webcam HD,Electronics,WH01,175,60,400,69.99,0.15,25.00,5,20,6,SUP01,2026-01-23,100
P009,Desk Lamp LED,Furniture,WH02,130,50,300,34.99,0.20,20.00,7,18,5,SUP02,2026-01-19,80
P010,Filing Cabinet,Furniture,WH02,35,15,80,149.99,0.25,45.00,14,4,2,SUP02,2026-01-12,25
P011,Printer Laser,Electronics,WH03,55,25,120,299.99,0.20,65.00,10,6,2,SUP03,2026-01-15,40
P012,Paper Ream,Supplies,WH03,890,300,2000,8.99,0.10,15.00,2,120,35,SUP03,2026-01-27,500
P013,Ink Cartridge,Supplies,WH03,245,100,500,24.99,0.15,20.00,3,35,10,SUP03,2026-01-26,150
P014,Notebook Pack,Supplies,WH03,410,150,800,12.99,0.10,15.00,2,55,15,SUP03,2026-01-25,200
P015,Pen Box,Supplies,WH03,520,200,1000,6.99,0.10,10.00,2,70,20,SUP03,2026-01-26,300
P016,Headphones BT,Electronics,WH01,78,30,200,149.99,0.18,35.00,6,10,4,SUP01,2026-01-21,50
P017,Tablet 10inch,Electronics,WH01,42,20,150,399.99,0.22,70.00,10,5,2,SUP01,2026-01-14,30
P018,Whiteboard,Furniture,WH02,65,25,120,89.99,0.20,30.00,7,8,3,SUP02,2026-01-17,40
P019,Ergonomic Mat,Furniture,WH02,95,40,200,29.99,0.15,20.00,5,14,4,SUP02,2026-01-22,60
P020,Power Strip,Electronics,WH01,280,100,600,19.99,0.12,18.00,3,40,12,SUP01,2026-01-25,200
